LR | Hidden | WeightDecay | Best Val Acc
0.01 | 128 | 0.001 | 0.8305
0.01 | 128 | 0.0001 | 0.8378
0.01 | 128 | 1e-05 | 0.8322
0.01 | 256 | 0.001 | 0.8263
0.01 | 256 | 0.0001 | 0.8365
0.01 | 256 | 1e-05 | 0.8272
0.01 | 512 | 0.001 | 0.8412
0.01 | 512 | 0.0001 | 0.8388
0.01 | 512 | 1e-05 | 0.8383
0.01 | 1024 | 0.001 | 0.8475
0.01 | 1024 | 0.0001 | 0.8448
0.01 | 1024 | 1e-05 | 0.8508
0.01 | 128 | 0.001 | 0.8340
0.01 | 128 | 0.0001 | 0.8457
0.01 | 128 | 1e-05 | 0.8332
0.01 | 256 | 0.001 | 0.8338
0.01 | 256 | 0.0001 | 0.8405
0.01 | 256 | 1e-05 | 0.8392
0.01 | 512 | 0.001 | 0.8427
0.01 | 512 | 0.0001 | 0.8442
0.01 | 512 | 1e-05 | 0.8475
0.01 | 1024 | 0.001 | 0.8492
0.01 | 1024 | 0.0001 | 0.8518
0.01 | 1024 | 1e-05 | 0.8507
0.001 | 128 | 0.001 | 0.7203
0.001 | 128 | 0.0001 | 0.6887
0.001 | 128 | 1e-05 | 0.7135
0.001 | 256 | 0.001 | 0.7087
0.001 | 256 | 0.0001 | 0.7193
0.001 | 256 | 1e-05 | 0.7393
0.001 | 512 | 0.001 | 0.7397
0.001 | 512 | 0.0001 | 0.7563
0.001 | 512 | 1e-05 | 0.7453
0.001 | 1024 | 0.001 | 0.7705
0.001 | 1024 | 0.0001 | 0.7682
0.001 | 1024 | 1e-05 | 0.7708
0.0001 | 128 | 0.001 | 0.3888
0.0001 | 128 | 0.0001 | 0.3157
0.0001 | 128 | 1e-05 | 0.3273
0.0001 | 256 | 0.001 | 0.4417
0.0001 | 256 | 0.0001 | 0.4067
0.0001 | 256 | 1e-05 | 0.4195
0.0001 | 512 | 0.001 | 0.5228
0.0001 | 512 | 0.0001 | 0.4665
0.0001 | 512 | 1e-05 | 0.5208
0.0001 | 1024 | 0.001 | 0.6193
0.0001 | 1024 | 0.0001 | 0.6118
0.0001 | 1024 | 1e-05 | 0.5983

◊Óº—≈‰÷√: {'hidden_dim': 1024, 'activation': 'relu', 'lr': 0.01, 'weight_decay': 0.0001, 'lr_decay': 0.95, 'epochs': 30, 'batch_size': 512}, Val Acc: 0.8518
