experiment_name,model,pretrained,attention,epochs,optimizer,backbone_lr,classifier_lr,weight_decay,batch_size,image_size,num_classes,best_val_acc,test_loss,test_acc,checkpoint
resnet18_grid_ep15_blr0p0001_clr0p0005_bs32,resnet18,True,none,15.0,adamw,0.0001,0.0005,0.0001,32.0,224.0,37,0.9347826086956522,0.3942667560864613,0.8800763150722267,./checkpoints\resnet18_grid_ep15_blr0p0001_clr0p0005_bs32_best.pth
resnet18_grid_ep15_blr0p0001_clr0p001_bs32,resnet18,True,none,15.0,adamw,0.0001,0.001,0.0001,32.0,224.0,37,0.938858695652174,0.39766285338399193,0.8819841918778959,./checkpoints\resnet18_grid_ep15_blr0p0001_clr0p001_bs32_best.pth
resnet18_grid_ep15_blr0p0001_clr0p005_bs32,resnet18,True,none,15.0,adamw,0.0001,0.005,0.0001,32.0,224.0,37,0.9293478260869565,0.544844707513457,0.8637230853093486,./checkpoints\resnet18_grid_ep15_blr0p0001_clr0p005_bs32_best.pth
resnet18_grid_ep15_blr0p0005_clr0p0005_bs32,resnet18,True,none,15.0,adamw,0.0005,0.0005,0.0001,32.0,224.0,37,0.9035326086956522,0.5281489479441057,0.8525483783047152,./checkpoints\resnet18_grid_ep15_blr0p0005_clr0p0005_bs32_best.pth
resnet18_grid_ep15_blr0p0005_clr0p001_bs32,resnet18,True,none,15.0,adamw,0.0005,0.001,0.0001,32.0,224.0,37,0.904891304347826,0.5419274216234018,0.8432815481057508,./checkpoints\resnet18_grid_ep15_blr0p0005_clr0p001_bs32_best.pth
resnet18_grid_ep15_blr0p0005_clr0p005_bs32,resnet18,True,none,15.0,adamw,0.0005,0.005,0.0001,32.0,224.0,37,0.8953804347826086,0.6945009916720256,0.830744071954211,./checkpoints\resnet18_grid_ep15_blr0p0005_clr0p005_bs32_best.pth
resnet18_grid_ep15_blr5e-05_clr0p0005_bs32,resnet18,True,none,15.0,adamw,5e-05,0.0005,0.0001,32.0,224.0,37,0.9320652173913043,0.3830250279475831,0.8814390842191333,./checkpoints\resnet18_grid_ep15_blr5e-05_clr0p0005_bs32_best.pth
resnet18_grid_ep15_blr5e-05_clr0p001_bs32,resnet18,True,none,15.0,adamw,5e-05,0.001,0.0001,32.0,224.0,37,0.9307065217391305,0.3945296367797386,0.881166530389752,./checkpoints\resnet18_grid_ep15_blr5e-05_clr0p001_bs32_best.pth
resnet18_grid_ep15_blr5e-05_clr0p005_bs32,resnet18,True,none,15.0,adamw,5e-05,0.005,0.0001,32.0,224.0,37,0.9347826086956522,0.4772911682160422,0.8789860997547015,./checkpoints\resnet18_grid_ep15_blr5e-05_clr0p005_bs32_best.pth
resnet18_pretrained_baseline,resnet18,True,none,,,,,,,,37,0.9375,0.4223366356263144,0.8800763150722267,./checkpoints\resnet18_pretrained_baseline_best.pth
